TamanyFiltre	NumHash	TamanyClau	porcentatge	FalsosPositius	FalsosNegatius
500	11	10	33	70	1
500	11	10	66	0	330
500	11	10	99	0	495
500	12	2	0	453	0
500	12	2	33	92	22
500	12	2	66	0	342
500	12	2	99	0	495
500	12	3	0	499	0
500	12	3	33	78	0
500	12	3	66	0	330
500	12	3	99	0	495
500	12	4	0	500	0
500	12	4	33	76	0
500	12	4	66	0	330
500	12	4	99	0	495
500	12	5	0	500	0
500	12	5	33	88	0
500	12	5	66	0	330
500	12	5	99	0	495
500	12	6	0	500	0
500	12	6	33	74	0
500	12	6	66	0	330
500	12	6	99	0	495
500	12	7	0	500	0
500	12	7	33	88	0
500	12	7	66	0	330
500	12	7	99	0	495
500	12	8	0	500	0
500	12	8	33	77	0
500	12	8	66	0	330
500	12	8	99	0	495
500	12	9	0	500	0
500	12	9	33	70	0
500	12	9	66	0	330
500	12	9	99	0	495
500	12	10	0	500	0
500	12	10	33	80	0
500	12	10	66	0	330
500	12	10	99	0	495
500	13	2	0	450	0
500	13	2	33	92	21
500	13	2	66	0	342
500	13	2	99	0	495
500	13	3	0	499	0
500	13	3	33	88	0
500	13	3	66	0	330
500	13	3	99	0	495
500	13	4	0	500	0
500	13	4	33	85	0
500	13	4	66	0	330
500	13	4	99	0	495
500	13	5	0	500	0
500	13	5	33	91	0
500	13	5	66	0	330
500	13	5	99	0	495
500	13	6	0	500	0
500	13	6	33	79	0
500	13	6	66	0	330
500	13	6	99	0	495
500	13	7	0	500	0
500	13	7	33	93	0
500	13	7	66	0	330
500	13	7	99	0	495
500	13	8	0	500	0
500	13	8	33	81	0
500	13	8	66	0	330
500	13	8	99	0	495
500	13	9	0	500	0
500	13	9	33	74	0
500	13	9	66	0	330
500	13	9	99	0	495
500	13	10	0	500	0
500	13	10	33	82	0
500	13	10	66	0	330
500	13	10	99	0	495
500	14	2	0	450	0
500	14	2	33	96	18
500	14	2	66	0	342
500	14	2	99	0	495
500	14	3	0	499	0
500	14	3	33	90	0
500	14	3	66	0	330
500	14	3	99	0	495
500	14	4	0	500	0
500	14	4	33	86	0
500	14	4	66	0	330
500	14	4	99	0	495
500	14	5	0	500	0
500	14	5	33	89	0
500	14	5	66	0	330
500	14	5	99	0	495
500	14	6	0	500	0
500	14	6	33	86	0
500	14	6	66	0	330
500	14	6	99	0	495
500	14	7	0	500	0
500	14	7	33	92	0
500	14	7	66	0	330
500	14	7	99	0	495
500	14	8	0	500	0
500	14	8	33	91	0
500	14	8	66	0	330
500	14	8	99	0	495
500	14	9	0	500	0
500	14	9	33	84	0
500	14	9	66	0	330
500	14	9	99	0	495
500	14	10	0	500	0
500	14	10	33	86	0
500	14	10	66	0	330
500	14	10	99	0	495
500	15	2	0	450	0
500	15	2	33	101	18
500	15	2	66	0	342
500	15	2	99	0	495
500	15	3	0	499	0
500	15	3	33	94	0
500	15	3	66	0	330
500	15	3	99	0	495
500	15	4	0	500	0
500	15	4	33	91	0
500	15	4	66	0	330
500	15	4	99	0	495
500	15	5	0	500	0
500	15	5	33	94	0
500	15	5	66	0	330
500	15	5	99	0	495
500	15	6	0	500	0
500	15	6	33	95	0
500	15	6	66	0	330
500	15	6	99	0	495
500	15	7	0	500	0
500	15	7	33	91	0
500	15	7	66	0	330
500	15	7	99	0	495
500	15	8	0	500	0
500	15	8	33	94	0
500	15	8	66	0	330
500	15	8	99	0	495
500	15	9	0	500	0
500	15	9	33	96	0
500	15	9	66	0	330
500	15	9	99	0	495
500	15	10	0	500	0
500	15	10	33	93	0
500	15	10	66	0	330
500	15	10	99	0	495
500	16	2	0	450	0
500	16	2	33	105	18
500	16	2	66	0	342
500	16	2	99	0	495
500	16	3	0	499	0
500	16	3	33	95	0
500	16	3	66	0	330
500	16	3	99	0	495
500	16	4	0	500	0
500	16	4	33	97	0
500	16	4	66	0	330
500	16	4	99	0	495
500	16	5	0	500	0
500	16	5	33	93	0
500	16	5	66	0	330
500	16	5	99	0	495
500	16	6	0	500	0
500	16	6	33	101	0
500	16	6	66	0	330
500	16	6	99	0	495
500	16	7	0	500	0
500	16	7	33	99	0
500	16	7	66	0	330
500	16	7	99	0	495
500	16	8	0	500	0
500	16	8	33	93	0
500	16	8	66	0	330
500	16	8	99	0	495
500	16	9	0	500	0
500	16	9	33	101	0
500	16	9	66	0	330
500	16	9	99	0	495
500	16	10	0	500	0
500	16	10	33	98	0
500	16	10	66	0	330
500	16	10	99	0	495
500	17	2	0	464	0
500	17	2	33	109	19
500	17	2	66	0	342
500	17	2	99	0	495
500	17	3	0	499	0
500	17	3	33	94	0
500	17	3	66	0	330
500	17	3	99	0	495
500	17	4	0	500	0
500	17	4	33	100	0
500	17	4	66	0	330
500	17	4	99	0	495
500	17	5	0	500	0
500	17	5	33	99	0
500	17	5	66	0	330
500	17	5	99	0	495
500	17	6	0	500	0
500	17	6	33	105	0
500	17	6	66	0	330
500	17	6	99	0	495
500	17	7	0	500	0
500	17	7	33	100	0
500	17	7	66	0	330
500	17	7	99	0	495
500	17	8	0	500	0
500	17	8	33	101	0
500	17	8	66	0	330
500	17	8	99	0	495
500	17	9	0	500	0
500	17	9	33	104	0
500	17	9	66	0	330
500	17	9	99	0	495
500	17	10	0	500	0
500	17	10	33	102	0
500	17	10	66	0	330
500	17	10	99	0	495
500	18	2	0	464	0
500	18	2	33	111	19
500	18	2	66	0	342
500	18	2	99	0	495
500	18	3	0	499	0
500	18	3	33	102	0
500	18	3	66	0	330
500	18	3	99	0	495
500	18	4	0	500	0
500	18	4	33	104	0
500	18	4	66	0	330
500	18	4	99	0	495
500	18	5	0	500	0
500	18	5	33	102	0
500	18	5	66	0	330
500	18	5	99	0	495
500	18	6	0	500	0
500	18	6	33	110	0
500	18	6	66	0	330
500	18	6	99	0	495
500	18	7	0	500	0
500	18	7	33	100	0
500	18	7	66	0	330
500	18	7	99	0	495
500	18	8	0	500	0
500	18	8	33	102	0
500	18	8	66	0	330
500	18	8	99	0	495
500	18	9	0	500	0
500	18	9	33	109	0
500	18	9	66	0	330
500	18	9	99	0	495
500	18	10	0	500	0
500	18	10	33	101	0
500	18	10	66	0	330
500	18	10	99	0	495
500	19	2	0	464	0
500	19	2	33	113	19
500	19	2	66	0	342
500	19	2	99	0	495
500	19	3	0	499	0
500	19	3	33	111	0
500	19	3	66	0	330
500	19	3	99	0	495
500	19	4	0	500	0
500	19	4	33	102	0
500	19	4	66	0	330
500	19	4	99	0	495
500	19	5	0	500	0
500	19	5	33	106	0
500	19	5	66	0	330
500	19	5	99	0	495
500	19	6	0	500	0
500	19	6	33	108	0
500	19	6	66	0	330
500	19	6	99	0	495
500	19	7	0	500	0
500	19	7	33	98	0
500	19	7	66	0	330
500	19	7	99	0	495
500	19	8	0	500	0
500	19	8	33	99	0
500	19	8	66	0	330
500	19	8	99	0	495
500	19	9	0	500	0
500	19	9	33	105	0
500	19	9	66	0	330
500	19	9	99	0	495
500	19	10	0	500	0
500	19	10	33	105	0
500	19	10	66	0	330
500	19	10	99	0	495
500	20	2	0	464	0
500	20	2	33	113	19
500	20	2	66	0	342
500	20	2	99	0	495
500	20	3	0	499	0
500	20	3	33	114	0
500	20	3	66	0	330
500	20	3	99	0	495
500	20	4	0	500	0
500	20	4	33	105	0
500	20	4	66	0	330
500	20	4	99	0	495
500	20	5	0	500	0
500	20	5	33	109	0
500	20	5	66	0	330
500	20	5	99	0	495
500	20	6	0	500	0
500	20	6	33	114	0
500	20	6	66	0	330
500	20	6	99	0	495
500	20	7	0	500	0
500	20	7	33	104	0
500	20	7	66	0	330
500	20	7	99	0	495
500	20	8	0	500	0
500	20	8	33	103	0
500	20	8	66	0	330
500	20	8	99	0	495
500	20	9	0	500	0
500	20	9	33	113	0
500	20	9	66	0	330
500	20	9	99	0	495
500	20	10	0	500	0
500	20	10	33	110	0
500	20	10	66	0	330
500	20	10	99	0	495
500	21	2	0	464	0
500	21	2	33	110	18
500	21	2	66	0	342
500	21	2	99	0	495
500	21	3	0	499	0
500	21	3	33	122	0
500	21	3	66	0	330
500	21	3	99	0	495
500	21	4	0	500	0
500	21	4	33	113	0
500	21	4	66	0	330
500	21	4	99	0	495
500	21	5	0	500	0
500	21	5	33	108	0
500	21	5	66	0	330
500	21	5	99	0	495
500	21	6	0	500	0
500	21	6	33	115	0
500	21	6	66	0	330
500	21	6	99	0	495
500	21	7	0	500	0
500	21	7	33	111	0
500	21	7	66	0	330
500	21	7	99	0	495
500	21	8	0	500	0
500	21	8	33	106	0
500	21	8	66	0	330
500	21	8	99	0	495
500	21	9	0	500	0
500	21	9	33	120	0
500	21	9	66	0	330
500	21	9	99	0	495
500	21	10	0	500	0
500	21	10	33	114	0
500	21	10	66	0	330
500	21	10	99	0	495
500	22	2	0	464	0
500	22	2	33	113	15
500	22	2	66	0	342
500	22	2	99	0	495
500	22	3	0	499	0
500	22	3	33	118	0
500	22	3	66	0	330
500	22	3	99	0	495
500	22	4	0	500	0
500	22	4	33	116	0
500	22	4	66	0	330
500	22	4	99	0	495
500	22	5	0	500	0
500	22	5	33	114	0
500	22	5	66	0	330
500	22	5	99	0	495
500	22	6	0	500	0
500	22	6	33	119	0
500	22	6	66	0	330
500	22	6	99	0	495
500	22	7	0	500	0
500	22	7	33	110	0
500	22	7	66	0	330
500	22	7	99	0	495
500	22	8	0	500	0
500	22	8	33	103	0
500	22	8	66	0	330
500	22	8	99	0	495
500	22	9	0	500	0
500	22	9	33	128	0
500	22	9	66	0	330
500	22	9	99	0	495
500	22	10	0	500	0
500	22	10	33	118	0
500	22	10	66	0	330
500	22	10	99	0	495
500	23	2	0	464	0
500	23	2	33	113	14
500	23	2	66	0	342
500	23	2	99	0	495
500	23	3	0	499	0
500	23	3	33	127	0
500	23	3	66	0	330
500	23	3	99	0	495
500	23	4	0	500	0
500	23	4	33	119	0
500	23	4	66	0	330
500	23	4	99	0	495
500	23	5	0	500	0
500	23	5	33	112	0
500	23	5	66	0	330
500	23	5	99	0	495
500	23	6	0	500	0
500	23	6	33	124	0
500	23	6	66	0	330
500	23	6	99	0	495
500	23	7	0	500	0
500	23	7	33	116	0
500	23	7	66	0	330
500	23	7	99	0	495
500	23	8	0	500	0
500	23	8	33	106	0
500	23	8	66	0	330
500	23	8	99	0	495
500	23	9	0	500	0
500	23	9	33	129	0
500	23	9	66	0	330
500	23	9	99	0	495
500	23	10	0	500	0
500	23	10	33	119	0
500	23	10	66	0	330
500	23	10	99	0	495
500	24	2	0	464	0
500	24	2	33	116	13
500	24	2	66	0	342
500	24	2	99	0	495
500	24	3	0	499	0
500	24	3	33	128	0
500	24	3	66	0	330
500	24	3	99	0	495
500	24	4	0	500	0
500	24	4	33	125	0
500	24	4	66	0	330
500	24	4	99	0	495
500	24	5	0	500	0
500	24	5	33	117	0
500	24	5	66	0	330
500	24	5	99	0	495
500	24	6	0	500	0
500	24	6	33	121	0
500	24	6	66	0	330
500	24	6	99	0	495
500	24	7	0	500	0
500	24	7	33	118	0
500	24	7	66	0	330
500	24	7	99	0	495
500	24	8	0	500	0
500	24	8	33	110	0
500	24	8	66	0	330
500	24	8	99	0	495
500	24	9	0	500	0
500	24	9	33	130	0
500	24	9	66	0	330
500	24	9	99	0	495
500	24	10	0	500	0
500	24	10	33	117	0
500	24	10	66	0	330
500	24	10	99	0	495
500	25	2	0	464	0
500	25	2	33	114	13
500	25	2	66	0	342
500	25	2	99	0	495
500	25	3	0	499	0
500	25	3	33	129	0
500	25	3	66	0	330
500	25	3	99	0	495
500	25	4	0	500	0
500	25	4	33	125	0
500	25	4	66	0	330
500	25	4	99	0	495
500	25	5	0	500	0
500	25	5	33	114	0
500	25	5	66	0	330
500	25	5	99	0	495
500	25	6	0	500	0
500	25	6	33	129	0
500	25	6	66	0	330
500	25	6	99	0	495
500	25	7	0	500	0
500	25	7	33	119	0
500	25	7	66	0	330
500	25	7	99	0	495
500	25	8	0	500	0
500	25	8	33	114	0
500	25	8	66	0	330
500	25	8	99	0	495
500	25	9	0	500	0
500	25	9	33	136	0
500	25	9	66	0	330
500	25	9	99	0	495
500	25	10	0	500	0
500	25	10	33	121	0
500	25	10	66	0	330
500	25	10	99	0	495
550	1	2	0	280	0
550	1	2	33	31	109
550	1	2	66	1	304
550	1	2	99	0	490
550	1	3	0	285	0
550	1	3	33	27	84
550	1	3	66	3	285
550	1	3	99	0	488
550	1	4	0	313	0
550	1	4	33	37	68
550	1	4	66	0	300
550	1	4	99	0	486
550	1	5	0	313	0
550	1	5	33	45	81
550	1	5	66	3	300
550	1	5	99	0	491
550	1	6	0	308	0
550	1	6	33	34	74
550	1	6	66	1	294
550	1	6	99	0	484
550	1	7	0	311	0
550	1	7	33	45	86
550	1	7	66	2	297
550	1	7	99	0	488
550	1	8	0	290	0
550	1	8	33	34	73
550	1	8	66	0	287
550	1	8	99	0	483
550	1	9	0	285	0
550	1	9	33	30	70
550	1	9	66	0	284
550	1	9	99	0	487
550	1	10	0	283	0
550	1	10	33	29	75
550	1	10	66	0	278
550	1	10	99	0	483
550	2	2	0	357	0
550	2	2	33	32	82
550	2	2	66	1	323
550	2	2	99	0	495
550	2	3	0	330	0
550	2	3	33	27	70
550	2	3	66	0	319
550	2	3	99	0	495
550	2	4	0	355	0
550	2	4	33	25	67
550	2	4	66	0	323
550	2	4	99	0	495
550	2	5	0	359	0
550	2	5	33	22	62
550	2	5	66	0	322
550	2	5	99	0	495
550	2	6	0	369	0
550	2	6	33	16	67
550	2	6	66	0	318
550	2	6	99	0	495
550	2	7	0	371	0
550	2	7	33	22	59
550	2	7	66	0	324
550	2	7	99	0	495
550	2	8	0	371	0
550	2	8	33	20	73
550	2	8	66	0	320
550	2	8	99	0	495
550	2	9	0	347	0
550	2	9	33	21	62
550	2	9	66	0	321
550	2	9	99	0	495
550	2	10	0	334	0
550	2	10	33	21	61
550	2	10	66	0	317
550	2	10	99	0	495
550	3	2	0	404	0
550	3	2	33	42	68
550	3	2	66	1	331
550	3	2	99	0	495
550	3	3	0	405	0
550	3	3	33	22	53
550	3	3	66	0	330
550	3	3	99	0	495
550	3	4	0	421	0
550	3	4	33	21	51
550	3	4	66	0	327
550	3	4	99	0	495
550	3	5	0	388	0
550	3	5	33	22	42
550	3	5	66	0	328
550	3	5	99	0	495
550	3	6	0	418	0
550	3	6	33	21	47
550	3	6	66	0	328
550	3	6	99	0	495
550	3	7	0	407	0
550	3	7	33	18	37
550	3	7	66	0	329
550	3	7	99	0	495
550	3	8	0	422	0
550	3	8	33	23	51
550	3	8	66	0	328
550	3	8	99	0	495
550	3	9	0	390	0
550	3	9	33	12	44
550	3	9	66	0	329
550	3	9	99	0	495
550	3	10	0	390	0
550	3	10	33	16	47
550	3	10	66	0	330
550	3	10	99	0	495
550	4	2	0	426	0
550	4	2	33	51	58
550	4	2	66	1	336
550	4	2	99	0	495
550	4	3	0	451	0
550	4	3	33	18	35
550	4	3	66	0	330
550	4	3	99	0	495
550	4	4	0	455	0
550	4	4	33	21	34
550	4	4	66	0	329
550	4	4	99	0	495
550	4	5	0	444	0
550	4	5	33	19	33
550	4	5	66	0	330
550	4	5	99	0	495
550	4	6	0	467	0
550	4	6	33	23	32
550	4	6	66	0	329
550	4	6	99	0	495
550	4	7	0	444	0
550	4	7	33	20	23
550	4	7	66	0	329
550	4	7	99	0	495
550	4	8	0	457	0
550	4	8	33	24	33
550	4	8	66	0	328
550	4	8	99	0	495
550	4	9	0	467	0
550	4	9	33	19	30
550	4	9	66	0	330
550	4	9	99	0	495
550	4	10	0	444	0
550	4	10	33	18	25
550	4	10	66	0	330
550	4	10	99	0	495
550	5	2	0	435	0
550	5	2	33	57	50
550	5	2	66	1	339
550	5	2	99	0	495
550	5	3	0	482	0
550	5	3	33	21	25
550	5	3	66	0	330
550	5	3	99	0	495
550	5	4	0	480	0
550	5	4	33	31	23
550	5	4	66	0	330
550	5	4	99	0	495
550	5	5	0	470	0
550	5	5	33	24	23
550	5	5	66	0	330
550	5	5	99	0	495
550	5	6	0	469	0
550	5	6	33	35	21
550	5	6	66	0	329
550	5	6	99	0	495
550	5	7	0	461	0
550	5	7	33	27	18
550	5	7	66	0	330
550	5	7	99	0	495
550	5	8	0	483	0
550	5	8	33	21	27
550	5	8	66	0	330
550	5	8	99	0	495
550	5	9	0	477	0
550	5	9	33	25	15
550	5	9	66	0	330
550	5	9	99	0	495
550	5	10	0	459	0
